SOC,T_degC,V_Vsrc0_V,R_R0_Ohm,R_R1_Ohm,C_C1_F,R_R2_Ohm,C_C2_F
0.26,35,3.52434872357578,0.0156202183782132,0.00107097084796231,4784.16110678454,0.00921490682298531,3324.8202740994
0.25,35,3.51776565722816,0.0157484159550377,0.00129652031787082,3946.71096339309,0.00957688901439101,3261.42375131285
0.24,35,3.51096570433729,0.01602261211282,0.00140241194527862,3553.32921089346,0.0101224094377773,3146.64265390192
0.23,35,3.50385589800067,0.0164350543814781,0.00139499951690029,3580.43598370016,0.0108417222816235,2983.20548357414
0.22,35,3.49631044507071,0.0165602333509855,0.00165436848246466,3197.72318670313,0.0115060739590995,2904.84802254715
0.21,35,3.48817442484744,0.0164271731504901,0.00215356413646303,2446.59762737313,0.0121210175638152,2902.97409971968
0.2,35,3.4792806983738,0.0165898821325773,0.002253925444617,2242.77895212848,0.0127767122301708,2847.82472170781
0.19,35,3.46947382338322,0.0170153934284023,0.00199990707071356,2525.26352932654,0.0134686157847977,2745.33804923665
0.18,35,3.45866101213993,0.017364643359585,0.00183701900347866,2725.32090972472,0.0138205667434804,2743.32343347332
0.17,35,3.44687219723371,0.0176482589203616,0.00175256226685498,2854.43729409311,0.0138799373804307,2827.78012879096
0.16,35,3.43430564555115,0.0177459789227321,0.00190170840900984,2686.14903915982,0.0136104181599269,3014.47852100178
0.15,35,3.42132574350318,0.0176887412494277,0.00224557980139042,2269.95205506566,0.0130667449558578,3286.40291776839
0.14,35,3.40839170999365,0.0178848925805699,0.00227976613281815,2210.41930058287,0.0125495574669116,3404.11850309993
0.13,35,3.39594190746271,0.0182855982873508,0.00206395174134066,2438.81233419889,0.0120537512092946,3397.34531193542
0.12,35,3.38429055968653,0.0189146383333435,0.00188043182019041,2675.31271309136,0.0119077433217363,3255.1594911423
0.11,35,3.37358191394461,0.0197221714662825,0.00172215707118511,2918.15075056961,0.0120351791531388,3007.11916612806
0.1,35,3.36380135491115,0.0208771955386063,0.00205765862308787,2623.18045414207,0.0128105747673655,2709.45216951101
0.09,35,3.35480603735907,0.0222898793647579,0.00275928851307985,1929.43267256317,0.014066423651621,2374.98767822802
0.08,35,3.34632492889936,0.0251799528329024,0.00427642624360673,1360.96556577341,0.0194856426480558,1900.54775918383
0.07,35,3.33787987669439,0.0291525315316152,0.00639109862434126,884.293461394484,0.0279554244717398,1323.54577499743
0.06,35,3.32855781204323,0.0340809773633782,0.00958334630160107,583.007086556372,0.0436289131220816,930.001269526109
